model,set,lab,sample,response,result
gpt-4o-mini,renamed,lab01,114,"    min_sum = float('inf')
    current_sum = 0
    
    for num in nums:
        current_sum += num
        if current_sum < min_sum:
            min_sum = current_sum
        if current_sum > 0:
            current_sum = 0
    
    return min_sum",Pass
gpt-4o-mini,renamed,lab01,115,"    total_water = 0
    
    for row in grid:
        total_water += sum(row)
    
    if total_water == 0:
        return 0
    
    # Calculate the number of times buckets need to be lowered
    lowers = math.ceil(total_water / capacity)
    
    return lowers","Traceback (most recent call last):
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmp4yard2bk.py"", line 65, in <module>
    check(test)
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmp4yard2bk.py"", line 62, in check
    assert candidate([[1,1,1,1], [1,1,1,1]], 9) == 2, ""Error""
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError: Error
"
gpt-4o-mini,renamed,lab01,116,"    return sorted(arr, key=lambda x: (bin(x).count('1'), x))",Pass
gpt-4o-mini,renamed,lab01,117,"    def count_consonants(word):
        consonants = ""bcdfghjklmnpqrstvwxyzBCDFGHJKLMNPQRSTVWXYZ""
        return sum(1 for char in word if char in consonants)

    if not s:
        return []

    words = s.split()
    result = []

    for word in words:
        if count_consonants(word) == n:
            result.append(word)
    
    return result",Pass
gpt-4o-mini,renamed,lab01,118,"```python
    vowels = ""aeiouAEIOU""
    length = len(word)

    for i in range(length - 2, 0, -1):
        if word[i] in vowels and word[i - 1].isalpha() and word[i + 1].isalpha() and word[i - 1] not in vowels and word[i + 1] not in vowels:
            return word[i]

    return """"
```",Pass
gpt-4o-mini,renamed,lab01,119,"    # Function to check if two strings can form a balanced parentheses string
    def is_good_string(s1, s2):
        combined = s1 + s2
        balance = 0
        for char in combined:
            if char == '(':
                balance += 1
            else:
                balance -= 1
            if balance < 0:
                return False
        return balance == 0

    # Check both concatenations: lst[0] + lst[1] and lst[1] + lst[0]
    if is_good_string(lst[0], lst[1]) or is_good_string(lst[1], lst[0]):
        return 'Yes'
    return 'No'",Pass
gpt-4o-mini,renamed,lab01,120,"    if k == 0:
        return []

    # Sort the array in descending order and get the top k elements
    max_numbers = sorted(arr, reverse=True)[:k]

    # Return the sorted list of max k numbers in ascending order
    return sorted(max_numbers)",Pass
gpt-4o-mini,renamed,lab01,121,"    return sum(lst[i] for i in range(0, len(lst), 2) if lst[i] % 2 != 0)",Pass
gpt-4o-mini,renamed,lab01,122,    return sum(x for x in arr[:k] if -10 < x < 100),Pass
gpt-4o-mini,renamed,lab01,123,"```python
    collatz_sequence = []
    
    while n != 1:
        collatz_sequence.append(n)
        if n % 2 == 0:
            n = n // 2
        else:
            n = 3 * n + 1
    
    collatz_sequence.append(1)  # add the last term, which is always 1
    odd_numbers = [num for num in collatz_sequence if num % 2 != 0]
    
    return sorted(odd_numbers)
```",Pass
gpt-4o-mini,renamed,lab01,124,"    if not date:
        return False
    
    parts = date.split('-')
    
    if len(parts) != 3:
        return False
    
    month_str, day_str, year_str = parts
    
    if not (month_str.isdigit() and day_str.isdigit() and year_str.isdigit()):
        return False
    
    month = int(month_str)
    day = int(day_str)
    year = int(year_str)
    
    if month < 1 or month > 12:
        return False
    
    if day < 1:
        return False
    
    if month in [1, 3, 5, 7, 8, 10, 12] and day > 31:
        return False
    
    if month in [4, 6, 9, 11] and day > 30:
        return False
    
    if month == 2:
        if year % 4 == 0:
            if day > 29:  # Leap year
                return False
        else:
            if day > 28:  # Non-leap year
                return False
            
    return True",Pass
gpt-4o-mini,renamed,lab01,125,"    if ' ' in txt:
        return txt.split()
    elif ',' in txt:
        return txt.split(',')
    else:
        return sum(1 for char in txt if char.islower() and (ord(char) - ord('a')) % 2 == 1)",Pass
gpt-4o-mini,renamed,lab01,126,"    if len(lst) < 2:
        return True
    
    seen = set()
    for i in range(len(lst)):
        if lst[i] in seen:
            return False
        seen.add(lst[i])
        if i > 0 and lst[i] < lst[i - 1]:
            return False
            
    return True","Traceback (most recent call last):
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpxwnj489i.py"", line 51, in <module>
    check(test)
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpxwnj489i.py"", line 47, in check
    assert candidate([1, 2, 2, 3, 3, 4]) == True, ""This prints if this assert fails 7 (good for debugging!)""
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError: This prints if this assert fails 7 (good for debugging!)
"
gpt-4o-mini,renamed,lab01,127,"    start1, end1 = interval1
    start2, end2 = interval2

    # Calculate the start and end of the intersection
    intersection_start = max(start1, start2)
    intersection_end = min(end1, end2)

    # Check if there is an intersection
    if intersection_start > intersection_end:
        return ""NO""

    # Calculate the length of the intersection
    intersection_length = intersection_end - intersection_start

    # Function to check if a number is prime
    def is_prime(n):
        if n <= 1:
            return False
        for i in range(2, int(n ** 0.5) + 1):
            if n % i == 0:
                return False
        return True

    # Check if the length of the intersection is a prime number
    if is_prime(intersection_length):
        return ""YES""
    else:
        return ""NO""",Pass
gpt-4o-mini,renamed,lab01,128,"    if not arr:
        return None
    
    total_sum = 0
    product_sign = 1
    
    for num in arr:
        if num > 0:
            total_sum += num
        elif num < 0:
            total_sum += -num
            product_sign *= -1
        else:
            product_sign *= 0
            
    return total_sum * product_sign",Pass
gpt-4o-mini,renamed,lab01,129,"```python
    from collections import deque

    n = len(grid)
    directions = [(0, 1), (1, 0), (0, -1), (-1, 0)]
    min_path = None

    def bfs(start_row, start_col):
        nonlocal min_path
        queue = deque([(start_row, start_col, [grid[start_row][start_col]])])
        while queue:
            row, col, path = queue.popleft()
            if len(path) == k:
                if min_path is None or path < min_path:
                    min_path = path
                continue
            for dr, dc in directions:
                new_row, new_col = row + dr, col + dc
                if 0 <= new_row < n and 0 <= new_col < n:
                    queue.append((new_row, new_col, path + [grid[new_row][new_col]]))

    for i in range(n):
        for j in range(n):
            bfs(i, j)

    return min_path
```",Pass
gpt-4o-mini,renamed,lab01,130,"    if n < 0:
        return []
    
    result = []
    
    for i in range(n + 1):
        if i == 1:
            result.append(3)
        elif i == 2:
            result.append(2)
        elif i % 2 == 0:
            result.append(1 + i / 2)
        else:
            tribonacci_value = result[i - 1] + result[i - 2] + result[i + 1] if i + 1 < len(result) else 0
            result.append(tribonacci_value)
    
    return result","Traceback (most recent call last):
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpyzkl9bss.py"", line 54, in <module>
    check(test)
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpyzkl9bss.py"", line 41, in check
    assert candidate(3) == [1, 3, 2.0, 8.0]
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError
"
gpt-4o-mini,renamed,lab01,131,"    product = 1
    has_odd = False
    
    for digit in str(n):
        digit = int(digit)
        if digit % 2 != 0:
            product *= digit
            has_odd = True
            
    return product if has_odd else 0",Pass
gpt-4o-mini,renamed,lab01,132,"    stack = []
    has_nested = False

    for char in string:
        if char == '[':
            stack.append(char)
        elif char == ']' and stack:
            stack.pop()
            if len(stack) > 0:
                has_nested = True

    return has_nested and len(stack) == 0","Traceback (most recent call last):
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpl74w45t7.py"", line 49, in <module>
    check(test)
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpl74w45t7.py"", line 40, in check
    assert candidate('[[]][[') == True
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError
"
gpt-4o-mini,renamed,lab01,133,"    import math
    
    rounded_lst = [math.ceil(num) for num in lst]
    squared_sum = sum(num ** 2 for num in rounded_lst)
    
    return squared_sum",Pass
gpt-4o-mini,renamed,lab01,134,"    if not txt or txt[-1] == ' ':
        return False
    return txt[-1].isalpha() and (len(txt) == 1 or txt[-2] == ' ')",Pass
gpt-4o-mini,renamed,lab01,135,"    for i in range(1, len(arr)):
        if arr[i] < arr[i - 1]:
            return i
    return -1","Traceback (most recent call last):
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpcqsxyga5.py"", line 29, in <module>
    check(test)
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpcqsxyga5.py"", line 23, in check
    assert candidate([4,8,5,7,3])==4
           ^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError
"
gpt-4o-mini,renamed,lab01,136,"    largest_negative = None
    smallest_positive = None
    
    for number in lst:
        if number < 0:
            if largest_negative is None or number > largest_negative:
                largest_negative = number
        elif number > 0:
            if smallest_positive is None or number < smallest_positive:
                smallest_positive = number

    return (largest_negative, smallest_positive)",Pass
gpt-4o-mini,renamed,lab01,137,"    def parse_number(value):
        if isinstance(value, str):
            value = value.replace(',', '.')
            try:
                return float(value)
            except ValueError:
                return value
        return value

    a_parsed = parse_number(a)
    b_parsed = parse_number(b)

    if a_parsed == b_parsed:
        return None
    return a if a_parsed > b_parsed else b",Pass
gpt-4o-mini,renamed,lab01,138,"    if n < 8:
        return False
    if n % 2 != 0:
        return False
    return True",Pass
gpt-4o-mini,renamed,lab01,139,"    if n <= 0:
        return 1
    result = 1
    for i in range(1, n + 1):
        factorial = 1
        for j in range(1, i + 1):
            factorial *= j
        result *= factorial
    return result",Pass
gpt-4o-mini,renamed,lab01,140,"    text = text.replace("" "", ""_"")
    while ""___"" in text:
        text = text.replace(""   "", ""-"")
    return text",Timeout
gpt-4o-mini,renamed,lab01,141,"```python
    if file_name.count('.') != 1:
        return 'No'
    
    name, extension = file_name.split('.')
    
    if not name or not name[0].isalpha():
        return 'No'
    
    if extension not in ['txt', 'exe', 'dll']:
        return 'No'
    
    digit_count = sum(c.isdigit() for c in name)
    if digit_count > 3:
        return 'No'
    
    return 'Yes'
```",Pass
gpt-4o-mini,renamed,lab01,142,"    total = 0
    for i in range(len(lst)):
        if i % 3 == 0:
            lst[i] **= 2
        elif i % 4 == 0:
            lst[i] **= 3
        total += lst[i]
    return total",Pass
gpt-4o-mini,renamed,lab01,143,"    def is_prime(n):
        if n <= 1:
            return False
        for i in range(2, int(n**0.5) + 1):
            if n % i == 0:
                return False
        return True

    words = sentence.split()
    prime_length_words = [word for word in words if is_prime(len(word))]
    return ' '.join(prime_length_words)",Pass
gpt-4o-mini,renamed,lab01,144,"    num_x, denom_x = map(int, x.split('/'))
    num_n, denom_n = map(int, n.split('/'))

    product_numerator = num_x * num_n
    product_denominator = denom_x * denom_n

    return product_numerator % product_denominator == 0",Pass
gpt-4o-mini,renamed,lab01,145,"    def digit_sum(n):
        return sum(int(digit) for digit in str(abs(n)))

    return sorted(nums, key=lambda x: (digit_sum(x), nums.index(x)))","Traceback (most recent call last):
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpqgya171j.py"", line 32, in <module>
    check(test)
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpqgya171j.py"", line 21, in check
    assert candidate([1, 11, -1, -11, -12]) == [-1, -11, 1, -12, 11]
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError
"
gpt-4o-mini,renamed,lab01,146,"    def is_first_and_last_odd(num):
        num_str = str(abs(num))
        return int(num_str[0]) % 2 == 1 and int(num_str[-1]) % 2 == 1

    count = 0
    for num in nums:
        if num > 10 and is_first_and_last_odd(num):
            count += 1

    return count",Pass
gpt-4o-mini,renamed,lab01,147,"    a = [i * i - i + 1 for i in range(1, n + 1)]
    count = 0
    mod_count = [0] * 3

    for num in a:
        mod_count[num % 3] += 1

    count += (mod_count[0] * (mod_count[0] - 1) * (mod_count[0] - 2)) // 6  # all mod 0
    count += (mod_count[1] * (mod_count[1] - 1) * (mod_count[1] - 2)) // 6  # all mod 1
    count += (mod_count[2] * (mod_count[2] - 1) * (mod_count[2] - 2)) // 6  # all mod 2
    count += mod_count[0] * mod_count[1] * mod_count[2]  # one of each mod

    return count",Pass
gpt-4o-mini,renamed,lab01,148,"    planets = (""Mercury"", ""Venus"", ""Earth"", ""Mars"", ""Jupiter"", ""Saturn"", ""Uranus"", ""Neptune"")
    
    if planet1 not in planets or planet2 not in planets:
        return ()
    
    index1 = planets.index(planet1)
    index2 = planets.index(planet2)
    
    if index1 > index2:
        index1, index2 = index2, index1
    
    return tuple(planets[index1 + 1:index2])",Pass
gpt-4o-mini,renamed,lab01,149,"    filtered_lst = [word for word in lst if len(word) % 2 == 0]
    return sorted(filtered_lst, key=lambda x: (len(x), x))",Pass
gpt-4o-mini,renamed,lab01,150,"    def is_prime(num):
        if num < 2:
            return False
        for i in range(2, int(num**0.5) + 1):
            if num % i == 0:
                return False
        return True

    return x if is_prime(n) else y",Pass
gpt-4o-mini,renamed,lab01,151,"    if not lst:
        return 0
    
    return sum(x**2 for x in lst if isinstance(x, int) and x > 0 and x % 2 != 0)",Pass
gpt-4o-mini,renamed,lab01,152,"    return [abs(g - s) for s, g in zip(game, guess)]",Pass
gpt-4o-mini,renamed,lab01,153,"    strongest_extension = None
    highest_strength = float('-inf')

    for extension in extensions:
        cap = sum(1 for char in extension if char.isupper())
        sm = sum(1 for char in extension if char.islower())
        strength = cap - sm

        if strength > highest_strength:
            highest_strength = strength
            strongest_extension = extension

    return f""{class_name}.{strongest_extension}""",Pass
gpt-4o-mini,renamed,lab01,154,"    combined = b + b
    return a in combined","Traceback (most recent call last):
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpsv7gxhog.py"", line 30, in <module>
    check(test)
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpsv7gxhog.py"", line 23, in check
    assert  candidate(""yello"",""ell"") == True , ""test #1""
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError: test #1
"
gpt-4o-mini,renamed,lab01,155,"    num = abs(num)
    even_count = 0
    odd_count = 0
    
    for digit in str(num):
        if int(digit) % 2 == 0:
            even_count += 1
        else:
            odd_count += 1
            
    return (even_count, odd_count)",Pass
gpt-4o-mini,renamed,lab01,156,"    roman_numerals = [
        (1000, 'm'), (900, 'cm'), (500, 'd'), (400, 'cd'),
        (100, 'c'), (90, 'xc'), (50, 'l'), (40, 'xl'),
        (10, 'x'), (9, 'ix'), (5, 'v'), (4, 'iv'),
        (1, 'i')
    ]
    
    result = []
    
    for value, numeral in roman_numerals:
        while number >= value:
            result.append(numeral)
            number -= value
            
    return ''.join(result)",Pass
gpt-4o-mini,renamed,lab01,157,"    sides = sorted([a, b, c])
    return sides[0]**2 + sides[1]**2 == sides[2]**2",Pass
gpt-4o-mini,renamed,lab01,158,"    unique_count = lambda word: len(set(word))
    max_word = """"
    
    for word in words:
        if (unique_count(word) > unique_count(max_word) or
            (unique_count(word) == unique_count(max_word) and word < max_word)):
            max_word = word
            
    return max_word",Pass
gpt-4o-mini,renamed,lab01,159,"    total_eaten = number + need
    if remaining >= need:
        return [total_eaten, remaining - need]
    else:
        return [total_eaten + remaining, 0]","Traceback (most recent call last):
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpsuds492h.py"", line 52, in <module>
    check(test)
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpsuds492h.py"", line 44, in check
    assert candidate(2, 11, 5) == [7, 0], ""Error""
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError: Error
"
gpt-4o-mini,renamed,lab01,160,"    expression = str(operand[0])
    
    for op, val in zip(operator, operand[1:]):
        expression += f' {op} {val}'
    
    return eval(expression)",Pass
gpt-4o-mini,renamed,lab01,161,"    if any(char.isalpha() for char in s):
        return ''.join(char.swapcase() if char.isalpha() else char for char in s)
    else:
        return s[::-1]",Pass
gpt-4o-mini,renamed,lab01,162,"    if not text:
        return None
    
    import hashlib
    return hashlib.md5(text.encode()).hexdigest()",Pass
gpt-4o-mini,renamed,lab01,163,"    a, b = sorted((a, b))
    return [i for i in range(a, b + 1) if i % 2 == 0]","Traceback (most recent call last):
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpeqe0j2s_.py"", line 27, in <module>
    check(test)
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpeqe0j2s_.py"", line 18, in check
    assert candidate(2, 10) == [2, 4, 6, 8], ""Test 1""
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError: Test 1
"
gpt-4o-mini,renamed,lab02,0,"    numbers_sorted = sorted(numbers)
    for i in range(len(numbers_sorted) - 1):
        if numbers_sorted[i + 1] - numbers_sorted[i] < threshold:
            return True
    return False",Pass
gpt-4o-mini,renamed,lab02,1,"    paren_string = paren_string.replace(' ', '')
    groups = []
    current_group = """"
    balance = 0

    for char in paren_string:
        if char == '(':
            balance += 1
            current_group += char
        elif char == ')':
            balance -= 1
            current_group += char
            
        if balance == 0 and current_group:
            groups.append(current_group)
            current_group = """"

    return groups",Pass
gpt-4o-mini,renamed,lab02,2,    return number - int(number),Pass
gpt-4o-mini,renamed,lab02,3,"    balance = 0
    for operation in operations:
        balance += operation
        if balance < 0:
            return True
    return False",Pass
gpt-4o-mini,renamed,lab02,4,"    mean_value = sum(numbers) / len(numbers)
    mad = sum(abs(x - mean_value) for x in numbers) / len(numbers)
    return mad",Pass
gpt-4o-mini,renamed,lab02,5,"    if not numbers:
        return []
    
    result = []
    for i in range(len(numbers) - 1):
        result.append(numbers[i])
        result.append(delimeter)
    result.append(numbers[-1])
    
    return result",Pass
gpt-4o-mini,renamed,lab02,6,"    results = []
    
    for group in paren_string.split():
        max_depth = 0
        current_depth = 0
        
        for char in group:
            if char == '(':
                current_depth += 1
                max_depth = max(max_depth, current_depth)
            elif char == ')':
                current_depth -= 1
        
        results.append(max_depth)
    
    return results",Pass
gpt-4o-mini,renamed,lab02,7,    return [s for s in strings if substring in s],Pass
gpt-4o-mini,renamed,lab02,8,"    total_sum = sum(numbers)
    total_product = 1 if numbers else 1
    for number in numbers:
        total_product *= number
    return total_sum, total_product",Pass
gpt-4o-mini,renamed,lab02,9,"    rolling_max = []
    current_max = -float('inf')
    
    for number in numbers:
        current_max = max(current_max, number)
        rolling_max.append(current_max)
        
    return rolling_max",Pass
gpt-4o-mini,renamed,lab02,10,"    n = len(string)
    for i in range(n, -1, -1):
        if is_palindrome(string[i:]):
            return string + string[:i][::-1]
    return string","Traceback (most recent call last):
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpi4d4602x.py"", line 41, in <module>
    check(test)
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpi4d4602x.py"", line 36, in check
    assert candidate('x') == 'x'
           ^^^^^^^^^^^^^^^^^^^^^
AssertionError
"
gpt-4o-mini,renamed,lab02,11,"    result = []
    for bit_a, bit_b in zip(a, b):
        result.append('1' if bit_a != bit_b else '0')
    return ''.join(result)",Pass
gpt-4o-mini,renamed,lab02,12,"    if not strings:
        return None
    
    longest = strings[0]
    for string in strings[1:]:
        if len(string) > len(longest):
            longest = string
            
    return longest",Pass
gpt-4o-mini,renamed,lab02,13,"    while b:
        a, b = b, a % b
    return a",Pass
gpt-4o-mini,renamed,lab02,14,"    return [string[:i] for i in range(1, len(string) + 1)]",Pass
gpt-4o-mini,renamed,lab02,15,    return ' '.join(str(i) for i in range(n + 1)),Pass
gpt-4o-mini,renamed,lab02,16,    return len(set(string.lower())),Pass
gpt-4o-mini,renamed,lab02,17,"    notes = music_string.split()
    beats = []
    
    for note in notes:
        if note == 'o':
            beats.append(4)
        elif note == 'o|':
            beats.append(2)
        elif note == '.|':
            beats.append(1)
    
    return beats",Pass
gpt-4o-mini,renamed,lab02,18,"    count = start = 0
    while start < len(string):
        start = string.find(substring, start)
        if start == -1:
            break
        count += 1
        start += 1
    return count",Pass
gpt-4o-mini,renamed,lab02,19,"    words = numbers.split()
    num_dict = {
        'zero': 0,
        'one': 1,
        'two': 2,
        'three': 3,
        'four': 4,
        'five': 5,
        'six': 6,
        'seven': 7,
        'eight': 8,
        'nine': 9
    }
    
    sorted_words = sorted(words, key=lambda x: num_dict[x])
    return ' '.join(sorted_words)",Pass
gpt-4o-mini,renamed,lab02,20,"    numbers = sorted(numbers)
    min_diff = float('inf')
    closest_pair = (0.0, 0.0)

    for i in range(len(numbers) - 1):
        diff = numbers[i + 1] - numbers[i]
        if diff < min_diff:
            min_diff = diff
            closest_pair = (numbers[i], numbers[i + 1])

    return closest_pair",Pass
gpt-4o-mini,renamed,lab02,21,"    min_num = min(numbers)
    max_num = max(numbers)
    range_num = max_num - min_num
    return [(num - min_num) / range_num for num in numbers]",Pass
gpt-4o-mini,renamed,lab02,22,"    return [value for value in values if isinstance(value, int)]",Pass
gpt-4o-mini,renamed,lab02,23,    return len(string),Pass
gpt-4o-mini,renamed,lab02,24,"    for i in range(n - 1, 0, -1):
        if n % i == 0:
            return i
    return None",Pass
gpt-4o-mini,renamed,lab02,25,"    factors = []
    divisor = 2
    
    while n >= 2:
        while n % divisor == 0:
            factors.append(divisor)
            n //= divisor
        divisor += 1
    
    return factors",Pass
gpt-4o-mini,renamed,lab02,26,"    seen = {}
    for number in numbers:
        if number in seen:
            seen[number] += 1
        else:
            seen[number] = 1

    return [number for number in numbers if seen[number] == 1]",Pass
gpt-4o-mini,renamed,lab02,27,    return string.swapcase(),Pass
gpt-4o-mini,renamed,lab02,28,    return ''.join(strings),Pass
gpt-4o-mini,renamed,lab02,29,    return [s for s in strings if s.startswith(prefix)],Pass
gpt-4o-mini,renamed,lab02,30,    return [x for x in l if x > 0],Pass
gpt-4o-mini,renamed,lab02,31,"    if n <= 1:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True",Pass
gpt-4o-mini,renamed,lab02,32,"    if len(xs) % 2 != 0:
        raise ValueError(""Coefficient list must have an even number of elements."")
    
    # Use Newton's method to find a root of the polynomial
    def derivative(xs):
        return [i * coeff for i, coeff in enumerate(xs) if i > 0]

    x = 0.0  # Initial guess
    for _ in range(100):  # Maximum number of iterations
        fx = poly(xs, x)
        dfx = poly(derivative(xs), x)
        if dfx == 0:  # Avoid division by zero
            raise ValueError(""Derivative is zero, unable to find a root."")
        x_new = x - fx / dfx
        if abs(x_new - x) < 1e-7:  # Convergence threshold
            return x_new
        x = x_new
    
    raise ValueError(""Failed to find a root within the maximum number of iterations."")","Traceback (most recent call last):
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmp6a3hstj4.py"", line 66, in <module>
    check(test)
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmp6a3hstj4.py"", line 62, in check
    solution = candidate(copy.deepcopy(coeffs))
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmp6a3hstj4.py"", line 43, in test
    raise ValueError(""Failed to find a root within the maximum number of iterations."")
ValueError: Failed to find a root within the maximum number of iterations.
"
gpt-4o-mini,renamed,lab02,33,"    sorted_values = sorted([l[i] for i in range(len(l)) if i % 3 == 0])
    result = l.copy()
    
    j = 0
    for i in range(len(l)):
        if i % 3 == 0:
            result[i] = sorted_values[j]
            j += 1
            
    return result","Traceback (most recent call last):
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmplyi2id4z.py"", line 38, in <module>
    check(test)
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmplyi2id4z.py"", line 29, in check
    assert tuple(candidate([1, 2, 3])) == tuple(sort_third([1, 2, 3]))
                                                ^^^^^^^^^^
NameError: name 'sort_third' is not defined
"
gpt-4o-mini,renamed,lab02,34,    return sorted(set(l)),Pass
gpt-4o-mini,renamed,lab02,35,"    if not l:
        raise ValueError(""List is empty"")
    max_element = l[0]
    for item in l:
        if item > max_element:
            max_element = item
    return max_element",Pass
gpt-4o-mini,renamed,lab02,36,"    count = 0
    for i in range(n):
        if i % 11 == 0 or i % 13 == 0:
            count += str(i).count('7')
    return count",Pass
gpt-4o-mini,renamed,lab02,37,"    even = sorted(l[i] for i in range(0, len(l), 2))
    result = []
    
    even_index = 0
    for i in range(len(l)):
        if i % 2 == 0:
            result.append(even[even_index])
            even_index += 1
        else:
            result.append(l[i])
    
    return result",Pass
gpt-4o-mini,renamed,lab02,38,"    # split the encoded string into groups of three
    groups = [s[(3 * i):min((3 * i + 3), len(s))] for i in range((len(s) + 2) // 3)]
    # reverse the cycling process for each group
    groups = [(group[-1] + group[:-1]) if len(group) == 3 else group for group in groups]
    return """".join(groups)",Pass
gpt-4o-mini,renamed,lab02,39,"    def is_prime(num: int) -> bool:
        if num <= 1:
            return False
        for i in range(2, int(num**0.5) + 1):
            if num % i == 0:
                return False
        return True

    def fibonacci(n: int) -> int:
        a, b = 0, 1
        for _ in range(n):
            a, b = b, a + b
        return a

    count, index = 0, 0
    while count < n:
        fib_num = fibonacci(index)
        if is_prime(fib_num):
            count += 1
        index += 1
    return fibonacci(index - 1) if is_prime(fibonacci(index - 1)) else fibonacci(index - 2)",Pass
gpt-4o-mini,renamed,lab02,40,"    n = len(l)
    l.sort()
    
    for i in range(n - 2):
        left, right = i + 1, n - 1
        while left < right:
            current_sum = l[i] + l[left] + l[right]
            if current_sum == 0:
                return True
            elif current_sum < 0:
                left += 1
            else:
                right -= 1
                
    return False",Pass
gpt-4o-mini,renamed,lab02,41,    return n * n,Pass
gpt-4o-mini,renamed,lab02,42,    return [x + 1 for x in l],Pass
gpt-4o-mini,renamed,lab02,43,"    seen = set()
    for number in l:
        if -number in seen:
            return True
        seen.add(number)
    return False",Pass
gpt-4o-mini,renamed,lab02,44,"    if base < 2 or base >= 10:
        raise ValueError(""Base must be between 2 and 9 inclusive."")
        
    if x == 0:
        return '0'
        
    result = []
    while x > 0:
        result.append(str(x % base))
        x //= base
        
    return ''.join(reversed(result))",Pass
gpt-4o-mini,renamed,lab02,45,    return 0.5 * a * h,Pass
gpt-4o-mini,renamed,lab02,46,"    if n == 0:
        return 0
    elif n == 1:
        return 0
    elif n == 2:
        return 2
    elif n == 3:
        return 0
    
    fib4_values = [0] * (n + 1)
    fib4_values[0] = 0
    fib4_values[1] = 0
    fib4_values[2] = 2
    fib4_values[3] = 0
    
    for i in range(4, n + 1):
        fib4_values[i] = fib4_values[i - 1] + fib4_values[i - 2] + fib4_values[i - 3] + fib4_values[i - 4]
    
    return fib4_values[n]",Pass
gpt-4o-mini,renamed,lab02,47,"    l_sorted = sorted(l)
    n = len(l_sorted)
    mid = n // 2

    if n % 2 == 0:
        return (l_sorted[mid - 1] + l_sorted[mid]) / 2
    else:
        return l_sorted[mid]",Pass
gpt-4o-mini,renamed,lab02,48,    return text == text[::-1],Pass
gpt-4o-mini,renamed,lab02,49,"    return pow(2, n, p)",Pass
gpt-4o-mini,renamed,lab02,50,"    return """".join([chr(((ord(ch) - 5 - ord(""a"")) % 26) + ord(""a"")) for ch in s])",Pass
gpt-4o-mini,renamed,lab02,51,"    vowels = ""aeiouAEIOU""
    return ''.join(char for char in text if char not in vowels)",Pass
gpt-4o-mini,renamed,lab02,52,    return all(x < t for x in l),Pass
gpt-4o-mini,renamed,lab02,53,    return x + y,Pass
